0.005584, 0.244616, 2.087682, -1.024587
0.005634, 0.252507, 2.094216, -1.103066
0.005684, 0.236725, 2.126887, -1.155385
0.005734, 0.299852, 2.126887, -1.164105
0.005784, 0.276179, 2.113819, -1.103066
0.005834, 0.299852, 2.107285, -1.050747
0.005884, 0.299852, 2.120353, -0.963548
0.005934, 0.299852, 2.100750, -0.919948
0.005984, 0.315633, 2.048477, -0.815310
0.006034, 0.339306, 2.022340, -0.736831
0.006084, 0.347197, 2.022340, -0.710671
0.006134, 0.347197, 2.022340, -0.658352
0.006184, 0.339306, 1.976600, -0.579873
0.006234, 0.362978, 1.970066, -0.553713
0.006284, 0.370869, 1.937395, -0.579873
0.006334, 0.362978, 1.911258, -0.614752
0.006384, 0.362978, 1.911258, -0.658352
0.006434, 0.378760, 1.911258, -0.736831
0.006484, 0.386651, 1.917792, -0.745551
0.006534, 0.386651, 1.911258, -0.815310
0.006584, 0.394542, 1.904724, -0.876349
0.006634, 0.378760, 1.904724, -0.928668
0.006684, 0.370869, 1.904724, -0.946108
0.006734, 0.362978, 1.878587, -0.963548
0.006784, 0.378760, 1.898190, -0.954828
0.006834, 0.394542, 1.865519, -0.989707
0.006884, 0.362978, 1.845916, -0.937388
0.006934, 0.370869, 1.852450, -0.937388
0.006984, 0.331415, 1.832848, -0.902509
0.007034, 0.347197, 1.813245, -0.911228
0.007084, 0.331415, 1.774040, -0.937388
0.007134, 0.307743, 1.754437, -0.989707
0.007184, 0.339306, 1.728300, -1.024587
0.007234, 0.315633, 1.715232, -1.050747
0.007284, 0.339306, 1.695629, -1.129226
0.007335, 0.299852, 1.662958, -1.146665
0.007385, 0.276179, 1.649890, -1.137946
0.007435, 0.284070, 1.604150, -1.137946
0.007485, 0.284070, 1.591082, -1.085626
0.007535, 0.284070, 1.551876, -0.980988
0.007585, 0.307743, 1.506137, -0.919948
0.007635, 0.284070, 1.460397, -0.954828
0.007685, 0.244616, 1.440795, -0.989707
0.007735, 0.276179, 1.414658, -0.919948
0.007785, 0.331415, 1.375452, -0.754270
0.007835, 0.355088, 1.316645, -0.780430
0.007885, 0.331415, 1.283973, -0.815310
0.007935, 0.276179, 1.257837, -0.719391
0.007985, 0.291961, 1.205563, -0.614752
0.008035, 0.347197, 1.166358, -0.632192
0.008085, 0.355088, 1.133686, -0.736831
0.008135, 0.347197, 1.127152, -0.858909
0.008185, 0.370869, 1.120618, -0.893789
0.008235, 0.370869, 1.101015, -0.989707
0.008285, 0.370869, 1.087947, -1.155385
0.008335, 0.410323, 1.081413, -1.216425
0.008385, 0.402433, 1.074879, -1.129226
0.008435, 0.410323, 1.061810, -1.068186
0.008485, 0.410323, 1.029139, -1.076906
